Threads,ArraySize,Time
1, 65536, 0.004619
1, 65536, 0.004576
1, 65536, 0.004627
1, 131072, 0.010178
1, 131072, 0.010005
1, 131072, 0.010105
1, 262144, 0.021376
1, 262144, 0.020910
1, 262144, 0.022321
1, 524288, 0.044291
1, 524288, 0.043838
1, 524288, 0.043635
1, 1048576, 0.092937
1, 1048576, 0.092132
1, 1048576, 0.091937
1, 2097152, 0.189373
1, 2097152, 0.188430
1, 2097152, 0.187060
1, 4194304, 0.398071
1, 4194304, 0.388622
1, 4194304, 0.397456
1, 8388608, 0.812665
1, 8388608, 0.812832
1, 8388608, 0.832111
1, 16777216, 1.675058
1, 16777216, 1.697378
1, 16777216, 1.692619
1, 33554432, 3.812947
1, 33554432, 3.580149
1, 33554432, 3.618868
1, 67108864, 7.496303
1, 67108864, 7.295462
1, 67108864, 7.544846
1, 134217728, 15.481847
1, 134217728, 15.241915
1, 134217728, 15.377744
1, 268435456, 32.394552
1, 268435456, 31.734345
1, 268435456, 31.172652
1, 536870912, 68.095798
1, 536870912, 66.807763
1, 536870912, 66.249013
1, 1073741824, 134.787895
1, 1073741824, 134.376278
1, 1073741824, 135.520575
2, 65536, 0.005033
2, 65536, 0.004804
2, 65536, 0.004764
2, 131072, 0.005821
2, 131072, 0.006208
2, 131072, 0.005631
2, 262144, 0.012363
2, 262144, 0.013460
2, 262144, 0.011722
2, 524288, 0.028625
2, 524288, 0.023868
2, 524288, 0.039092
2, 1048576, 0.050005
2, 1048576, 0.054600
2, 1048576, 0.055388
2, 2097152, 0.129828
2, 2097152, 0.169397
2, 2097152, 0.103971
2, 4194304, 0.391695
2, 4194304, 0.390402
2, 4194304, 0.293378
2, 8388608, 0.488479
2, 8388608, 0.480592
2, 8388608, 0.662247
2, 16777216, 1.032645
2, 16777216, 0.908644
2, 16777216, 0.947077
2, 33554432, 2.905285
2, 33554432, 2.017952
2, 33554432, 2.825135
2, 67108864, 4.072207
2, 67108864, 5.882691
2, 67108864, 5.329469
2, 134217728, 10.190416
2, 134217728, 8.467951
2, 134217728, 8.637813
2, 268435456, 17.671693
2, 268435456, 30.681507
2, 268435456, 22.620258
2, 536870912, 53.558872
2, 536870912, 62.678833
2, 536870912, 47.542646
2, 1073741824, 82.785848
2, 1073741824, 74.568939
2, 1073741824, 90.637421
4, 65536, 0.003253
4, 65536, 0.002954
4, 65536, 0.002189
4, 131072, 0.006010
4, 131072, 0.006102
4, 131072, 0.005287
4, 262144, 0.010823
4, 262144, 0.013024
4, 262144, 0.013010
4, 524288, 0.021728
4, 524288, 0.021283
4, 524288, 0.027423
4, 1048576, 0.038156
4, 1048576, 0.038311
4, 1048576, 0.037230
4, 2097152, 0.065952
4, 2097152, 0.074585
4, 2097152, 0.080091
4, 4194304, 0.174273
4, 4194304, 0.200701
4, 4194304, 0.210636
4, 8388608, 0.282902
4, 8388608, 0.333786
4, 8388608, 0.323436
4, 16777216, 1.371228
4, 16777216, 0.716593
4, 16777216, 0.753635
4, 33554432, 1.764209
4, 33554432, 1.524715
4, 33554432, 1.456227
4, 67108864, 4.772336
4, 67108864, 2.942832
4, 67108864, 3.601893
4, 134217728, 6.171281
4, 134217728, 8.502177
4, 134217728, 8.752643
4, 268435456, 14.606513
4, 268435456, 16.579172
4, 268435456, 11.285574
4, 536870912, 41.434282
4, 536870912, 28.849145
4, 536870912, 34.020054
4, 1073741824, 73.550712
4, 1073741824, 53.638827
4, 1073741824, 64.086237
8, 65536, 0.002364
8, 65536, 0.001584
8, 65536, 0.001895
8, 131072, 0.003168
8, 131072, 0.003359
8, 131072, 0.003566
8, 262144, 0.006691
8, 262144, 0.010140
8, 262144, 0.010086
8, 524288, 0.016547
8, 524288, 0.015094
8, 524288, 0.019082
8, 1048576, 0.026946
8, 1048576, 0.031133
8, 1048576, 0.032509
8, 2097152, 0.068935
8, 2097152, 0.061638
8, 2097152, 0.054372
8, 4194304, 0.118604
8, 4194304, 0.114971
8, 4194304, 0.116437
8, 8388608, 0.305517
8, 8388608, 0.245236
8, 8388608, 0.325227
8, 16777216, 0.471570
8, 16777216, 0.465699
8, 16777216, 0.546259
8, 33554432, 1.025586
8, 33554432, 0.922023
8, 33554432, 1.206160
8, 67108864, 2.052466
8, 67108864, 2.274356
8, 67108864, 2.338349
8, 134217728, 4.674395
8, 134217728, 4.541695
8, 134217728, 5.197912
8, 268435456, 8.556374
8, 268435456, 10.085377
8, 268435456, 8.752346
8, 536870912, 17.161934
8, 536870912, 16.777565
8, 536870912, 17.167552
8, 1073741824, 35.562280
8, 1073741824, 40.862898
8, 1073741824, 39.189652
12, 65536, 0.006985
12, 65536, 0.001680
12, 65536, 0.001625
12, 131072, 0.003086
12, 131072, 0.008201
12, 131072, 0.003353
12, 262144, 0.007370
12, 262144, 0.006262
12, 262144, 0.006402
12, 524288, 0.016475
12, 524288, 0.015242
12, 524288, 0.013332
12, 1048576, 0.025196
12, 1048576, 0.028576
12, 1048576, 0.027184
12, 2097152, 0.058324
12, 2097152, 0.065544
12, 2097152, 0.066332
12, 4194304, 0.113126
12, 4194304, 0.114861
12, 4194304, 0.103704
12, 8388608, 0.221583
12, 8388608, 0.205708
12, 8388608, 0.212178
12, 16777216, 0.485077
12, 16777216, 0.423227
12, 16777216, 0.404882
12, 33554432, 0.969332
12, 33554432, 0.865636
12, 33554432, 0.895651
12, 67108864, 1.796736
12, 67108864, 1.879027
12, 67108864, 1.758599
12, 134217728, 4.040771
12, 134217728, 3.989446
12, 134217728, 3.554650
12, 268435456, 7.590810
12, 268435456, 7.803006
12, 268435456, 10.177599
12, 536870912, 14.335224
12, 536870912, 14.403647
12, 536870912, 15.237481
12, 1073741824, 28.692056
12, 1073741824, 26.588795
12, 1073741824, 28.100860
