,Threads,ArraySize,MeanTime,StdTime,Log2MatrixSize
0,1,65536,0.004412333333333333,9.930928120439356e-05,16
1,1,131072,0.009555666666666667,0.0006110027277625961,17
2,1,262144,0.019923,0.00024934915279583485,18
3,1,524288,0.04226066666666667,0.0004701928682289153,19
4,1,1048576,0.08831066666666666,0.000990774612782003,20
5,1,2097152,0.17332066666666668,0.0006008696475387472,21
6,1,4194304,0.374045,0.010150686232959805,22
7,1,8388608,0.795468,0.004376434279182063,23
8,1,16777216,1.627713,0.004277472735155678,24
9,1,33554432,3.456353,0.07713073745919982,25
10,1,67108864,7.163926,0.15018269017100497,26
11,1,134217728,14.717104,0.1710535609129489,27
12,1,268435456,30.22376,0.30381424415422004,28
13,1,536870912,63.920172,1.9023866407507661,29
14,1,1073741824,128.969032,0.619745963578642,30
15,2,65536,0.00293,0.00018519989200860794,16
16,2,131072,0.005783333333333334,0.00027154066607661744,17
17,2,262144,0.012559666666666669,0.0002472353804238649,18
18,2,524288,0.02537266666666667,0.0015280576996086685,19
19,2,1048576,0.04955533333333333,0.0037987641850124546,20
20,2,2097152,0.11514200000000001,0.00274135714564885,21
21,2,4194304,0.221592,0.002625533660039417,22
22,2,8388608,0.45146766666666666,0.005852727085157259,23
23,2,16777216,1.077642,0.14226173982838813,24
24,2,33554432,1.9270816666666668,0.062475908031282876,25
25,2,67108864,4.771988666666666,1.078071662081113,26
26,2,134217728,9.109604,1.758518399018617,27
27,2,268435456,19.83806733333333,3.375206998580282,28
28,2,536870912,51.44932466666666,8.623549273222265,29
29,2,1073741824,83.78676566666667,21.66672677594464,30
30,4,65536,0.0025789999999999997,0.0003502442005230065,16
31,4,131072,0.003964666666666667,2.542308662089111e-05,17
32,4,262144,0.009237333333333334,0.0006384546446955598,18
33,4,524288,0.024267333333333335,5.499393905998549e-05,19
34,4,1048576,0.03345633333333333,0.0005308957838722495,20
35,4,2097152,0.069811,0.0011009509525859887,21
36,4,4194304,0.1600676666666667,0.0022576652394306214,22
37,4,8388608,0.37062799999999996,0.0035376911962465055,23
38,4,16777216,0.6710526666666666,0.058972438938315296,24
39,4,33554432,1.4474563333333332,0.17039179781120142,25
40,4,67108864,3.3666626666666666,0.8273592082048365,26
41,4,134217728,6.811689666666666,2.025233554328077,27
42,4,268435456,15.127847666666668,1.3047079850546393,28
43,4,536870912,25.572461,1.413613936147702,29
44,4,1073741824,60.12231966666667,4.696699452634518,30
45,8,65536,0.0017013333333333333,0.0002443487944175974,16
46,8,131072,0.003707666666666667,8.944458247056305e-05,17
47,8,262144,0.006595,0.0003513388677615955,18
48,8,524288,0.012915666666666666,0.00015236250632400805,19
49,8,1048576,0.025345000000000003,0.0007953697253479048,20
50,8,2097152,0.052421666666666665,0.0010731119854578723,21
51,8,4194304,0.11262733333333334,0.007276498150438388,22
52,8,8388608,0.23922966666666667,0.00525768174515472,23
53,8,16777216,0.478702,0.015882679150571528,24
54,8,33554432,0.8564303333333333,0.13746790061804726,25
55,8,67108864,1.7988106666666666,0.16491216471301726,26
56,8,134217728,4.103821,0.5295244188599803,27
57,8,268435456,8.442971,0.8031413321533143,28
58,8,536870912,16.588599666666667,0.4628243654695961,29
59,8,1073741824,32.95394833333334,2.196725685098012,30
60,12,65536,0.0032373333333333334,0.002973661099273644,16
61,12,131072,0.005615333333333333,0.0024221652159448857,17
62,12,262144,0.0064273333333333335,0.00011552200367606752,18
63,12,524288,0.011709333333333334,0.0010489887193546605,19
64,12,1048576,0.023463,0.001501616462349824,20
65,12,2097152,0.041535333333333334,0.0006904739917863196,21
66,12,4194304,0.09142666666666666,0.0011607723003816555,22
67,12,8388608,0.20500600000000002,0.007376200309102249,23
68,12,16777216,0.3722223333333334,0.005445061003637436,24
69,12,33554432,0.8172796666666667,0.02326828941571196,25
70,12,67108864,1.5842973333333334,0.04532581610223189,26
71,12,134217728,3.3051670000000004,0.1428403128952047,27
72,12,268435456,6.680809666666666,0.20514172164953004,28
73,12,536870912,12.322263333333334,0.4253284428442723,29
74,12,1073741824,29.038849666666668,0.6477365197472905,30
